month,category,actual_sales,forecast_sales
2014-01-01,Furniture,6242.53,6554.6565
2014-02-01,Furniture,1839.66,4243.14975
2014-03-01,Furniture,14573.96,7929.652499999999
2014-04-01,Furniture,7944.84,8525.461000000001
2014-05-01,Furniture,6912.79,10301.0565
2014-06-01,Furniture,13206.13,9822.315999999997
2014-07-01,Furniture,10821.05,10828.9895
2014-08-01,Furniture,7320.35,10971.635499999999
2014-09-01,Furniture,23816.48,14685.258
2014-10-01,Furniture,12304.25,15204.378
2014-11-01,Furniture,21564.87,20189.96
2014-12-01,Furniture,30645.97,22580.2815
2015-01-01,Furniture,11739.94,22382.773
2015-02-01,Furniture,3134.37,15932.098
2015-03-01,Furniture,12499.78,9580.931499999999
2015-04-01,Furniture,10475.7,9138.4475
2015-05-01,Furniture,9374.95,11322.650500000002
2015-06-01,Furniture,7714.18,9647.690499999999
2015-07-01,Furniture,13674.42,10767.242499999998
2015-08-01,Furniture,9638.59,10859.5165
2015-09-01,Furniture,26273.02,17355.1105
2015-10-01,Furniture,12026.62,16778.3805
2015-11-01,Furniture,30880.83,24213.1645
2015-12-01,Furniture,23085.82,23097.6445
2016-01-01,Furniture,7622.74,21556.2865
2016-02-01,Furniture,3925.55,12121.938499999998
2016-03-01,Furniture,12801.09,8522.282999999998
2016-04-01,Furniture,13212.09,10478.555499999999
2016-05-01,Furniture,15119.84,14396.556999999997
2016-06-01,Furniture,13070.57,14490.874999999998
2016-07-01,Furniture,13068.52,14440.625499999998
2016-08-01,Furniture,12483.23,13517.811999999998
2016-09-01,Furniture,27262.88,18485.120499999997
2016-10-01,Furniture,11872.58,18066.541499999996
2016-11-01,Furniture,31783.63,24821.681500000002
2016-12-01,Furniture,36678.72,28117.2255
2017-01-01,Furniture,5964.03,26049.233
2017-02-01,Furniture,6866.34,17328.1815
2017-03-01,Furniture,10893.44,8303.333499999999
2017-04-01,Furniture,9065.96,9389.008999999998
2017-05-01,Furniture,16957.56,12920.935999999998
2017-06-01,Furniture,19008.59,15761.238499999998
2017-07-01,Furniture,11813.02,16722.7095
2017-08-01,Furniture,15441.87,16192.217999999999
2017-09-01,Furniture,29028.21,19699.084999999995
2017-10-01,Furniture,21884.07,23223.9525
2017-11-01,Furniture,37056.72,30789.15
2017-12-01,Furniture,31407.47,31621.891000000003
2014-01-01,Office Supplies,4851.08,5093.634
2014-02-01,Office Supplies,1071.72,3109.4700000000003
2014-03-01,Office Supplies,8605.88,5085.0380000000005
2014-04-01,Office Supplies,11155.07,7291.434499999999
2014-05-01,Office Supplies,7135.62,9413.7995
2014-06-01,Office Supplies,12953.04,10935.3055
2014-07-01,Office Supplies,15121.21,12323.454499999998
2014-08-01,Office Supplies,11379.46,13808.798499999999
2014-09-01,Office Supplies,27423.3,18873.3895
2014-10-01,Office Supplies,7211.13,16104.8615
2014-11-01,Office Supplies,26862.44,21523.9045
2014-12-01,Office Supplies,18006.46,18228.0105
2015-01-01,Office Supplies,1808.78,16337.188000000002
2015-02-01,Office Supplies,5368.07,8814.1585
2015-03-01,Office Supplies,15882.55,8070.79
2015-04-01,Office Supplies,12558.56,11833.213000000002
2015-05-01,Office Supplies,9113.74,13144.1975
2015-06-01,Office Supplies,10647.75,11312.017500000002
2015-07-01,Office Supplies,4719.94,8568.500499999998
2015-08-01,Office Supplies,11735.11,9485.98
2015-09-01,Office Supplies,19305.77,12516.287
2015-10-01,Office Supplies,8673.41,13900.0015
2015-11-01,Office Supplies,21218.13,17219.0585
2015-12-01,Office Supplies,16201.67,16132.623500000002
2016-01-01,Office Supplies,5299.68,14951.818000000001
2016-02-01,Office Supplies,6794.35,9903.495
2016-03-01,Office Supplies,17346.93,10304.336000000001
2016-04-01,Office Supplies,10647.45,12176.055499999999
2016-05-01,Office Supplies,13035.2,14360.353000000001
2016-06-01,Office Supplies,10901.81,12104.561000000002
2016-07-01,Office Supplies,12924.44,12901.5075
2016-08-01,Office Supplies,8959.74,11475.0965
2016-09-01,Office Supplies,23263.74,15801.772000000003
2016-10-01,Office Supplies,16281.79,16976.844500000003
2016-11-01,Office Supplies,20487.28,21011.483500000002
2016-12-01,Office Supplies,37997.57,26168.324
2017-01-01,Office Supplies,21274.29,27915.699
2017-02-01,Office Supplies,7407.77,23337.8705
2017-03-01,Office Supplies,14550.29,15131.322500000002
2017-04-01,Office Supplies,15072.19,12960.5875
2017-05-01,Office Supplies,13736.96,15175.804000000002
2017-06-01,Office Supplies,16912.04,16002.416500000001
2017-07-01,Office Supplies,10241.47,14311.6645
2017-08-01,Office Supplies,30059.85,20024.676
2017-09-01,Office Supplies,31895.84,25269.006
2017-10-01,Office Supplies,23037.19,29747.508000000005
2017-11-01,Office Supplies,31472.34,30241.8795
2017-12-01,Office Supplies,30436.94,29731.2645
2014-01-01,Technology,3143.29,3300.4545000000003
2014-02-01,Technology,1608.51,2494.695
2014-03-01,Technology,32511.17,13042.0395
2014-04-01,Technology,9195.43,15160.288500000002
2014-05-01,Technology,9599.88,17957.268
2014-06-01,Technology,8435.97,9530.947999999999
2014-07-01,Technology,8004.13,9113.993
2014-08-01,Technology,9209.66,8977.416000000001
2014-09-01,Technology,30537.57,16712.976000000002
2014-10-01,Technology,11938.02,18089.8375
2014-11-01,Technology,30201.41,25436.95
2014-12-01,Technology,20893.19,22061.417
2015-01-01,Technology,4625.35,19501.9825
2015-02-01,Technology,3448.97,10138.6285
2015-03-01,Technology,10343.92,6446.384
2015-04-01,Technology,11160.95,8733.844000000001
2015-05-01,Technology,11643.0,11601.7545
2015-06-01,Technology,6435.37,10233.762
2015-07-01,Technology,10370.97,9957.269
2015-08-01,Technology,15524.63,11315.8395
2015-09-01,Technology,19017.13,15719.455499999998
2015-10-01,Technology,10704.89,15836.3275
2015-11-01,Technology,23873.6,18758.467
2015-12-01,Technology,35632.03,24573.681999999997
2016-01-01,Technology,5620.07,22793.994999999995
2016-02-01,Technology,12258.91,18728.853499999997
2016-03-01,Technology,21567.85,13806.390499999996
2016-04-01,Technology,14890.5,17051.040999999997
2016-05-01,Technology,28832.69,22851.863999999998
2016-06-01,Technology,16372.15,21033.368999999995
2016-07-01,Technology,13269.0,20465.844
2016-08-01,Technology,9672.4,13759.742499999997
2016-09-01,Technology,22883.41,16038.683499999997
2016-10-01,Technology,31533.37,22431.213
2016-11-01,Technology,27141.06,28545.244000000002
2016-12-01,Technology,22322.76,28349.016499999994
2017-01-01,Technology,16733.05,23168.9045
2017-02-01,Technology,6027.02,15778.990499999996
2017-03-01,Technology,33428.62,19666.041500000003
2017-04-01,Technology,12383.39,18143.6605
2017-05-01,Technology,13566.59,20782.510000000002
2017-06-01,Technology,17061.1,15053.878
2017-07-01,Technology,23209.93,18843.167
2017-08-01,Technology,17619.16,20261.5665
2017-09-01,Technology,26942.6,23720.091500000002
2017-10-01,Technology,32855.66,27096.097000000005
2017-11-01,Technology,49918.77,38400.9605
2017-12-01,Technology,21984.91,36665.769
